Slug,State,Parent,Parent Title,Item Name,Commodity Type,Item Type,Business Units,Subject Name - General,Subject ID,Parent Grade Tags,Days of Week,Parent Course Hours,Session Count,Capacity,Price Dollars,Content Product Image,Item Tags
vtgsc-btg-algebra-I-10-12,draft,t,Bridging the Gap in Algebra 2,Bridging the Gap in Algebra 2 01173H,digital,group course academic,,Math,1,"[""10th Grade"",""11th Grade"",""12th Grade""]","[""wed""]",6.0,6,900,$269.00,https://llt.imgix.net/v1/1639706608-algebra1.jpg?fit=crop&ar=16:9&w=336,course_list-ll_summer_camps;curation_list-varsity_tutors_for_schools;varsity_tutors_for_schools;course_list-ll_live_classes;category-vt+_course;category-learning_member_course;livestream_course;webinar_offering;vt4s_webinar_offering
vtgsc-btg-algebra-I-8-10,draft,t,Bridging the Gap in Algebra 1,Bridging the Gap in Algebra 1 01173H,digital,group course academic,,Math,1,"[""8th Grade"",""9th Grade"",""10th Grade""]","[""wed""]",6.0,6,900,$269.00,https://llt.imgix.net/v1/1639847057-readyforalgebra1.jpg?fit=crop&ar=16:9&w=336,category-learning_member_course;category-vt+_course;webinar_offering;vt4s_webinar_offering;curation_list-varsity_tutors_for_schools;varsity_tutors_for_schools;course_list-ll_summer_camps;course_list-ll_live_classes;livestream_course
vtgsc-btg-geometry-10-12,draft,t,Bridging the Gap in Geometry,Bridging the Gap in Geometry 01164H,digital,group course academic,,Math,1,"[""10th Grade"",""11th Grade"",""12th Grade""]","[""tue""]",6.0,6,900,$269.00,https://llt.imgix.net/v1/1685655824-high_school_geometry.png?fit=crop&ar=16:9&w=336,livestream_course;course_list-ll_live_classes;course_list-ll_summer_camps;category-vt+_course;curation_list-varsity_tutors_for_schools;varsity_tutors_for_schools;webinar_offering;vt4s_webinar_offering;category-learning_member_course
vtgsc-btg-math-2,draft,t,Bridging the Gap in 2nd Grade Math,Bridging the Gap in 2nd Grade Math 01174EE,digital,group course academic,,Math,1,"[""2nd Grade"",""3rd Grade""]","[""wed""]",6.0,6,900,$269.00,https://llt.imgix.net/v1/1700153201-gap-math-default-2nd.jpg?fit=crop&ar=16:9&w=336,category-vt+_course;course_list-ll_summer_camps;category-learning_member_course;livestream_course;course_list-ll_live_classes;webinar_offering;vt4s_webinar_offering;curation_list-varsity_tutors_for_schools;varsity_tutors_for_schools
vtgsc-btg-math-3,draft,t,Bridging the Gap in 3rd Grade Math,Bridging the Gap in 3rd Grade Math 01184EE,digital,group course academic,,Math,1,"[""3rd Grade"",""4th Grade""]","[""thu""]",6.0,6,900,$269.00,https://llt.imgix.net/v1/1639418655-3rdgrademath.jpg?fit=crop&ar=16:9&w=336,course_list-ll_summer_camps;category-learning_member_course;course_list-ll_live_classes;livestream_course;webinar_offering;vt4s_webinar_offering;category-vt+_course;curation_list-varsity_tutors_for_schools;varsity_tutors_for_schools
vtgsc-btg-math-4,draft,t,Bridging the Gap in 4th Grade Math,Bridging the Gap in 4th Grade Math 01184EE,digital,group course academic,,Math,1,"[""4th Grade"",""5th Grade""]","[""thu""]",6.0,6,900,$269.00,https://llt.imgix.net/v1/1700158048-gap-math-default-4th.jpg?fit=crop&ar=16:9&w=336,curation_list-varsity_tutors_for_schools;varsity_tutors_for_schools;category-learning_member_course;category-vt+_course;course_list-ll_summer_camps;webinar_offering;vt4s_webinar_offering;livestream_course;course_list-ll_live_classes
vtgsc-btg-math-5,draft,t,Bridging the Gap in 5th Grade Math,Bridging the Gap in 5th Grade Math 01155M,digital,group course academic,,Math,1,"[""5th Grade"",""6th Grade""]","[""mon""]",6.0,6,900,$269.00,https://llt.imgix.net/v1/1700158054-gap-math-default-5th.jpg?fit=crop&ar=16:9&w=336,category-learning_member_course;course_list-ll_summer_camps;webinar_offering;vt4s_webinar_offering;livestream_course;category-vt+_course;curation_list-varsity_tutors_for_schools;varsity_tutors_for_schools;course_list-ll_live_classes
vtgsc-btg-math-6,draft,t,Bridging the Gap in 6th Grade Math,Bridging the Gap in 6th Grade Math 01155M,digital,group course academic,,Math,1,"[""6th Grade"",""7th Grade""]","[""mon""]",6.0,6,900,$269.00,https://llt.imgix.net/v1/1700158059-gap-math-default-6th.jpg?fit=crop&ar=16:9&w=336,livestream_course;category-learning_member_course;course_list-ll_live_classes;course_list-ll_summer_camps;curation_list-varsity_tutors_for_schools;varsity_tutors_for_schools;webinar_offering;vt4s_webinar_offering;category-vt+_course
vtgsc-btg-math-7,draft,t,Bridging the Gap in 7th Grade Math,Bridging the Gap in 7th Grade Math 01174M,digital,group course academic,,Math,1,"[""7th Grade"",""8th Grade""]","[""wed""]",6.0,6,900,$269.00,https://llt.imgix.net/v1/1700158064-gap-math-default-7th.jpg?fit=crop&ar=16:9&w=336,category-vt+_course;livestream_course;course_list-ll_summer_camps;curation_list-varsity_tutors_for_schools;varsity_tutors_for_schools;category-learning_member_course;webinar_offering;vt4s_webinar_offering;course_list-ll_live_classes
vtgsc-btg-math-8,draft,t,Bridging the Gap in 8th Grade Math,Bridging the Gap in 8th Grade Math 01174M,digital,group course academic,,Math,1,"[""8th Grade"",""9th Grade""]","[""wed""]",6.0,6,900,$269.00,https://llt.imgix.net/v1/1700158069-gap-math-default-8th.jpg?fit=crop&ar=16:9&w=336,course_list-ll_summer_camps;webinar_offering;vt4s_webinar_offering;course_list-ll_live_classes;category-vt+_course;curation_list-varsity_tutors_for_schools;varsity_tutors_for_schools;category-learning_member_course;livestream_course
