Grades	grade-mapping	Grade Band	Title Grade Indicator
["1st Grade"]	1	Elementary School (K-5)	EE
["2nd Grade"]	2	Elementary School (K-5)	EE
["3rd Grade"]	3	Elementary School (K-5)	E
["4th Grade"]	4	Elementary School (K-5)	E
["5th Grade"]	5	Elementary School (K-5)	E
["6th Grade"]	6	Middle School (6-8)	M
["7th Grade"]	7	Middle School (6-8)	M
["8th Grade"]	8	Middle School (6-8)	M
["1st Grade","2nd Grade"]	1|2	Elementary School (K-5)	EE
["1st Grade","2nd Grade","3rd Grade"]	1|2|3	Elementary School (K-5)	E
["1st Grade","2nd Grade","3rd Grade","4th Grade","5th Grade"]	1|2|3|4|5	Elementary School (K-5)	E
["1st Grade","2nd Grade","3rd Grade","4th Grade","5th Grade","6th Grade"]	1|2|3|4|5|6	Elementary School (K-5)	E
["10th Grade","11th Grade","12th Grade"]	10|11|12	High School (9-12)	H
["11th Grade","12th Grade"]	11|12	High School (9-12)	H
["2nd Grade","3rd Grade"]	2|3	Elementary School (K-5)	EE
["2nd Grade","3rd Grade","4th Grade"]	2|3|4	Elementary School (K-5)	E
["2nd Grade","3rd Grade","4th Grade","5th Grade"]	2|3|4|5	Elementary School (K-5)	E
["2nd Grade","3rd Grade","4th Grade","5th Grade","6th Grade"]	2|3|4|5|6	Elementary School (K-5)	E
["3rd Grade","4th Grade"]	3|4	Elementary School (K-5)	E
["4th Grade","3rd Grade"]	3|4	Elementary School (K-5)	E
["3rd Grade","4th Grade","5th Grade"]	3|4|5	Elementary School (K-5)	E
["3rd Grade","5th Grade","4th Grade"]	3|4|5	Elementary School (K-5)	E
["4th Grade","5th Grade","3rd Grade"]	3|4|5	Elementary School (K-5)	E
["3rd Grade","4th Grade","5th Grade","6th Grade"]	3|4|5|6	Elementary School (K-5)	E
["3rd Grade","4th Grade","5th Grade","6th Grade","7th Grade","8th Grade"]	3|4|5|6|7|8	Middle School (6-8)	E
["3rd Grade","4th Grade","5th Grade","6th Grade","7th Grade","8th Grade","9th Grade","10th Grade","11th Grade","12th Grade"]	3|4|5|6|7|8|9|10|11|12	All Ages	I
["4th Grade","5th Grade"]	4|5	Elementary School (K-5)	E
["4th Grade","5th Grade","6th Grade"]	4|5|6	Elementary School (K-5)	E
["4th Grade","5th Grade","6th Grade","7th Grade"]	4|5|6|7	Middle School (6-8)	M
["4th Grade","5th Grade","6th Grade","7th Grade","8th Grade"]	4|5|6|7|8	Middle School (6-8)	M
["4th Grade","5th Grade","6th Grade","7th Grade","8th Grade","9th Grade"]	4|5|6|7|8|9	Middle School (6-8)	M
